CESU Name,Federal Agency,Fiscal Year,Award Number,Local Number,Partner,Location,Project Title,Type,Discipline,Initial Amount,Added Amount,Total Amount,Partner Principal Investigator First Name,Partner Principal Investigator Last Name,Federal Tech Rep First Name,Federal Tech Rep Last Name,Federal Project Lead First Name,Federal Project Lead Last Name,Students Involved,Sensitive Data,Description,Notes,Received Date,Reviewed Date,Approved Date,Start Date,End Date,Project Status,Awarding Office,Modification Status,Modification Number,Modification Type,Modification Approved Date,Deliverables Received,Files
Colorado Plateau (COPL),National Park Service,2008,08AC00038,ASU-040,Arizona State University,MEVE| YUHO,EthNographic Literature Review,Technical Assistance,Cultural,"$20,000.00",$0.00,"$20,000.00",Nancy,Dallett,Tara,Travis,,,Yes,No,,"Dave Ruppert is the Subject Matter specialist for the KO.  Students FY is wrong:  3 years of student support listed totaling $20565
admin closed    R1496080055",,,,8/11/08,7/1/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00041,NAU-297,Northern Arizona University,SUCR,Archaeological Survey,Research,Cultural,"$115,000.00","$40,703.00","$155,703.00",Christian,Downum,Lloyd,Masayumptewa,,,Yes,No,,R7470080078,,,,8/1/08,8/31/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00060,NAU-276,Northern Arizona University,GRCA,Forest Vegetation Simulator (FVS) Modeling,Research,Natural,"$40,220.00",$0.00,"$40,220.00",Andrea,Thode,Eric,Gdula,,,Yes,No,,MS Student Supported for 2 school years. Final report covers this task agreement and NAU-363.  R8227082010,,,,5/1/09,7/10/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00063,NAU-294,Northern Arizona University,ZION,"Identification & Cataloging of Specimens Collected from 1976 Grapevine Springs, Zion NP",Research,Cultural,"$18,800.00","$122,163.00","$140,963.00",Neil,Cobb,Fred,Armstrong,,,No,No,,R1592008010,,,,6/30/08,7/31/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00064,UAZCP-139,University of Arizona,ORPI,Catalog Natural History Archives at Organ Pipe Cactus National Monument,Technical Assistance,Interdisciplinary,"$27,400.00",$0.00,"$27,400.00",Richard,Lange,,,,,Yes,No,,R8100080194,,,,7/15/08,7/31/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00065,UAZCP-164,University of Arizona,GOSP,Catalog Resource Management Archives,Technical Assistance,Interdisciplinary,"$24,289.00",$0.00,"$24,289.00",Richard,Lange,Lynn,Mitchell,,,Yes,No,,R8100080199,,,,7/15/08,1/31/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00066,NAU-274,Northern Arizona University,MEVE,Transportation Planning Assistance for MEVE by NAU,Technical Assistance,Social,"$25,096.00","$121,526.00","$146,622.00",Jonathan,Upchurch,Allan,Loy,,,No,No,,"R1492080039
Closure request by park on 5-10-13. Funding to be obligated: $5,618.82.",,,,8/1/08,11/30/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00069,UAZCP-156,University of Arizona,CAGR| SAGU,"Implement Corrective Action Plans, Improve Access, Manage FY2008 Year-End Reporting",Technical Assistance,Cultural,"$30,251.00",$0.00,"$30,251.00",Richard,Lange,Kim,Beckwith,,,Yes,No,,"CZC $29251 CZY $1000
R8100080224",,,,8/15/08,12/31/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00072,NAU-283,Northern Arizona University,GRCA,"Graduate Field Study: Linking Education, Research & Management",Educational,Natural,"$19,568.00",$0.00,"$19,568.00",Thomas,Sisk,Jane,Rodgers,,,Yes,No,,R8219081529,,,,9/1/08,9/1/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00075,UAZCP-144,University of Arizona,ELMA | ELMO,Provide Museum Assistance to El Malpais and El Morro National Monuments,Technical Assistance,Cultural,"$64,000.00",$0.00,"$64,000.00",Richard,Lange,,,,,Yes,No,,"7190-VTPG-CZA  $36000              7410-CZY $28000
R8100080242",,,,9/15/08,5/13/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00079,UAZCP-159,University of Arizona,BAND,Conduct Collection Condition Survey & Object Treatments,Research,Cultural,"$15,834.00",$0.00,"$15,834.00",Mackenzie,Massman,Tef,Rodeffer,,,No,No,,"COC $12000; CZC $3834
R8100080161",,,,6/15/08,6/30/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00080,UNM-012,University of New Mexico,BAND,Documentation of Cavate Pueblos at Tsankawi Mesa,Research,Cultural,"$94,379.00",$0.00,"$94,379.00",Douglas,Porter,Barbara,Judy,,,No,No,,R7127080059,,,,6/16/08,6/14/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00082,NAU-292,Northern Arizona University,MULTI,Support Colorado Plateau Cooperative Ecosystem Studies Unit,Technical Assistance,Interdisciplinary,"$10,000.00","$80,690.00","$90,690.00",Ron,Hiebert,Judy,Bischoff,,,No,No,,R1242080103,,,,9/15/08,8/31/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00083,UAZCP-148,University of Arizona,GRTE,Provide Library Assistance to Grand Teton NP,Technical Assistance,Cultural,"$9,999.00",$0.00,"$9,999.00",Richard,Lange,Lynn,Mitchell,,,No,No,,R8100080223,,,,9/15/08,1/31/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,08AC00084,ASU-041,Arizona State University,WACC,"Finalize Collection Management Plans Casa Grand Ruins, Saguaro & Tumacacori National Parks & Correct Documentation Deficiencies",Technical Assistance,Interdisciplinary,"$7,552.00",$0.00,"$7,552.00",Arleyn,Simon,Tef,Rodeffer,,,Yes,No,,"MULTI CCH: $4500           COC $3052
J8100080253",,,,9/15/08,5/31/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,09AC00184,NAU-295,Northern Arizona University,CHIS,Application of Restoration Rapid Assessment Tool Disturbed Sites Santa Rosa Island Support Development Restoration Plan,Research,Natural,"$14,502.00","$218,173.00","$232,675.00",Scott,Anderson,Chaney,,,,No,No,,R2340080067,,,,10/1/08,5/31/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1212080052,USUCP-034,Utah State University,DINo,Investigate Floodplain Processes Riparian Ecosystem Linkages on Yampa River & Green River,Research,Natural,"$18,000.00",$0.00,"$18,000.00",Jack,Schmidt,Tamara,Naumann,,,Yes,No,,"A single final report submitted for USUCP-22, 30 and 34.",,,,9/26/08,9/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1212080056,UAZCP-172,University of Arizona,PEFO,"Phase II:  Extended Energy Analysis, Energy Audits & Development of Sustainability Publications for the Visitors and Staff of Petrified Forest NP",Research,Natural,"$30,550.00",$0.00,"$30,550.00",Nader,Chalfoun,Patricia,Thompson,,,Yes,No,,Natural Resource and Social Science project,,,,10/1/08,3/1/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1212080057,NAU-300,Northern Arizona University,IMDE,Technical Support for Learning Center for American Southwest Website,Educational,Interdisciplinary,"$60,000.00","$121,827.00","$181,827.00",Christian,Downum,Duane,Hubbard,,,No,No,,,,,,9/30/08,10/31/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1242070053,NAU-263,Northern Arizona University,PEFO,Weed Management Plan & Environmental Assessment for Puerco River Riparian Zone,Technical Assistance,Natural,"$30,000.00","$190,001.21","$220,001.21",Ron,Hiebert,Patricia,Thompson,,,Yes,No,,,,,,10/1/07,6/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1242070056,NAU-288,Northern Arizona University,NAVA,"Fire History & Vegetation Change at Navajo National Monument, Phase II",Research,Natural,"$15,004.00","$40,826.00","$55,830.00",Scott,Anderson,Mick,Castillo,,,Yes,No,,7430-NNP $6024; 7430-8061-NNS $8980,,,,9/15/08,5/31/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1242080102,FLC-010,Fort Lewis College,AZRU,Inventory of Exotic Plant Species Occurring in Aztec Ruins National Monument,Technical Assistance,Natural,"$12,930.00",$0.00,"$12,930.00",Julie,Korb,Lisa,Thomas,,,No,No,,,,,,6/15/08,4/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1242080104,ASU-042,Arizona State University,MULTI,Support CPCESU Operations,Technical Assistance,Interdisciplinary,"$2,000.00",$0.00,"$2,000.00",Charles,Redman,Trinkle,Jones,,,No,No,,Colorado Plateau multi parks. Reports for the Salinas Pueblo museum curator internships are covered in the final reports for ASU-62 and ASU-,,,,9/30/08,11/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,127080049,UNM-011,University of New Mexico,BAND,Pinyon-Juniper Restoration Monitoring,Technical Assistance,Natural,"$24,908.00",$0.00,"$24,908.00",Esteban,Muldavin,Brian,Jacobs,,,Yes,No,,,,,,9/1/08,6/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1330060018,SUU-010,Southern Utah University,BRCA,Visitor Experiences & Expectations Soundscape- Phase II,Technical Assistance,Natural,"$52,000.00",$0.00,"$52,000.00",Britton,Mace,Laura,Schrage,,,Yes,No,,,,,,1/6/08,7/31/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1330080018,WSUCP-002,Weber State University,BRCA,Continuation of Paleontological Inventory of Cretaceous Rocks Bryce Canyon National Park,Research,Natural,"$24,413.00",$0.00,"$24,413.00",Jeffery,Eaton,Laura,Schrage,,,No,No,,"When final report is rcvd, it will also close out WSUCP-01 (it has a different J number)
Interim report received and submitted Dec. 2009.  Funds expended- see WSUCP-003 for NCE date.",,,,5/1/08,10/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1330080092,NAU-277,Northern Arizona University,BRCA,Utah Prairie  Dog Management and Conservation Strategy - FY 08 UPD Summit and Project Set up Meeting,Research,Natural,$317.25,$0.00,$317.25,Neil,Cobb,Kelly,Fuhrmann,,,No,No,,"CANCELLED per Trinkle Jones 10/28/08 --$0
Rolled into NAU-305 and 351
Report received for all three task agreements at the same time",,,,8/1/08,3/31/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1344080015,CCAC-002,Crow Canyon Archaeological Center,CANY,Ruins Assessment Planning in Salt Creek Archeological District,Technical Assistance,Cultural,"$18,683.00",$0.00,"$18,683.00",Mark,Varien,Chris,Goetze,,,No,No,,Crow Canyon Arch Center,,,,9/15/08,6/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1344080016,CCAC-001,Crow Canyon Archaeological Center,HOVE,"Goodman Point Archeological Project: Completion Field Season, Artifact Processing & Analysis",Technical Assistance,Cultural,"$20,000.00",$0.00,"$20,000.00",Mark,Varien,Chris,Goetze,,,No,No,,,,,,9/30/08,5/31/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1360070083,SUU-011,Southern Utah University,CEBR,Inventory Rare Plants & Identify Management Recommendations Phase II,Research,Natural,"$18,481.00",$0.00,"$18,481.00",Walter,Fertig,Paul,Roelandt,,,No,No,,,,,,5/15/08,6/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1360080127,WASO-08-0002,Southern Utah University,CEBR,"Establish ""Partners in the Parks"" Education Program for Collegiate HoNors Students",Educational,Interdisciplinary,"$63,750.00",$0.00,"$63,750.00",Matthew,Nickerson,Paul,Roelandt,,,No,No,,,,,,1/1/08,1/31/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1360080246,SUU-012,Southern Utah University,CEBR,"Intergovernmental Internship Cooperative, Youth Partnership Projects",Educational,Social,"$75,000.00",$0.00,"$75,000.00",Wes,Curtis,Paul,Roelandt,,,No,No,,,,,,8/31/08,7/31/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1376060003,USUCP-030,Utah State University,DINo,"Investigate Floodplain Processes and Riparian Ecosystem Linkages on the Yampa River and on the middle Green River in DiNosaur National Monument, Moffat County, Colorado and Uintah County, Utah",Research,Natural,"$38,000.00",$0.00,"$38,000.00",Jack,Schmidt,,,,,Yes,No,,"A single final report submitted for USUCP-22, 30 and 34.",,,,8/1/08,9/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1404084238,CSUCP-124,Colorado State University,DINo,"Monitoring Saltcedar (Tamarix) Biological Control (Diorhabda elongata) Insectary Establishment in Echo Park, DiNosaur National Monument, Moffat County, Colorado",Research,Natural,"$14,100.00",$0.00,"$14,100.00",Andrew,Norton,Tamara,Naumann,,,Yes,No,,,,,,8/1/08,2/28/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1404084401,UNM-010,University of New Mexico,DINo,A Resurvey of Bats (Chiroptera) at DiNosaur National Monument,Technical Assistance,Natural,"$23,500.00",$0.00,"$23,500.00",Tom,Turner,Cindy,Heyd,,,No,No,,Admin closed 9/22/10,,,,5/27/08,8/28/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1445070009,CSUCP-123,Colorado State University,GLCA,Co-Sponsorship of Guide to Cyprinid Larvae & Early Juveniles of Upper Colorado River Basin with Computer-Interactive Key Phase II,Research,Natural,"$15,000.00",$0.00,"$15,000.00",Darrel,Snyder,Mark,Anderson,,,No,No,,,,,,6/1/08,3/31/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1470070401,RMB-007,Bird Conservancy of the Rockies (formerly RMBO),ROMO| GRSA,Mexican Spotted Owl Survey,Technical Assistance,Natural,"$24,400.00",$0.00,"$24,400.00",Jennifer,Blakesley,Jeff,ConNor,,,No,No,,,,,,4/1/08,11/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1492070082,FLC-006,Fort Lewis College,MEVE,Develop Multidisciplinary GIS Curriculum & Presentation of GIS Training,Educational,Interdisciplinary,"$22,631.00",$0.00,"$22,631.00",W. Scott,White,Allan,Loy,,,No,No,,Per Trinkle Jones this is an FY07 project despite the start date. No report was ever received. IMR Contracting closed out this project in March 2011.,,,,10/1/07,5/1/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1493080081,FLC-011,Fort Lewis College,MEVE,Replace Three Trail Guides for Mesa Verde National Park,Educational,Social,"$18,900.00",$0.00,"$18,900.00",Catherine,Ortega,Rosemarie,Salazar,,,No,No,,Project canceled Mod #2 Deobligated all funding ($18900),,,,9/15/08,5/31/13,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1496060030,FLC-012,Fort Lewis College,MEVE,Intern Program 2008,Educational,Social,"$9,500.00",$0.00,"$9,500.00",John,Ninnemann,Scott,Travis,,,Yes,No,,,,,,5/1/08,10/15/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1496080051,FLC-013,Fort Lewis College,MEVE,"Pilot Study of the Ecological Effects of Mercury Deposition in Mesa Verde National Monument, CO",Research,Natural,"$18,000.00",$0.00,"$18,000.00",Koren,Nydick,George,San Miguel,,,No,No,,"Interim report received 
Dec. 2009- Not final/Not closed
Admin closed 9/30/10; Closes FLC-015 as well",,,,9/15/08,9/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1510070262,USUCP-031,Utah State University,PISP,Vegetation Management Plan- Phase II,Technical Assistance,Natural,"$10,000.00",$0.00,"$10,000.00",Craig,Johnson,John,Hiscock,,,Yes,No,,Admin closed 9/30/10,,,,8/1/08,9/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1580080586,UNM-016,University of New Mexico,YELL,Geomorphic Influence of Beaver on Fluvial Systems in the Greater Yellowstone Ecosystem,Research,Natural,"$11,995.00",$0.00,"$11,995.00",Grant,Meyer,Roy,Renkin,,,No,No,,"Admin closed 9/24/10
Report covers UNM-16, 32 and 54.",,,,9/1/08,1/1/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1590085135,SUU-013,Southern Utah University,CEBR,Physical & Biological Resource Evaluation of Springs in Lower Cedar Breaks National Monument,Research,Natural,"$20,981.00",$0.00,"$20,981.00",Frederic,Govedich,David,Sharrow,,,Yes,No,,,,,,9/30/08,12/31/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1596070001,UAZCP-126,University of Arizona,ZION,Southern Paiute Basketry- Video Documentary Year 2,Research,Cultural,"$30,000.00",$0.00,"$30,000.00",Diane,Austin,Christine,Landrum,,,Yes,No,,Closed out 9-16-11 by IMR Contracting. No expectations of receiving the video product.,,,,8/15/07,1/31/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1596080273,SUU-014,Southern Utah University,ZION,Sensitive Plant Population Survey in Zion National Park,Research,Natural,"$4,759.00",$0.00,"$4,759.00",Walter,Fertig,Cheryl,Decker,,,No,No,,Admin closed 9/30/10,,,,2/1/09,6/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1596080283,UAZCP-168,University of Arizona,ZION,Pine Creek Historic District National Register Nomination Form Amendment,Technical Assistance,Cultural,"$11,500.00",$0.00,"$11,500.00",Brooks,Jeffery,Sarah,Horton,,,No,No,,"MULTI PWE Multi accts: 1242-0531-CCH: $1500,   1596-0001-CZA: $600,  1596-0004-NZI $900,  1596-0006-NZY $8500",,,,9/15/08,7/1/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1596080299,CSUCP-128,Colorado State University,ZION,Historic Trail Archival Research & National Register Nomination Form Amendment,Technical Assistance,Cultural,"$35,000.00",$0.00,"$35,000.00",Gregory,Smoak,Sarah,Horton,,,No,No,,6 reports submitted as final reports,,,,9/15/08,4/15/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,1596080300,USUCP-033,Utah State University,ZION,Inventory of Aquatic Macroinvertebrates in Park Streams,Research,Natural,"$15,000.00",$0.00,"$15,000.00",Mark,Vinson,David,Sharrow,,,No,No,,,,,,9/20/08,9/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2118070020,USUCP-028,Utah State University,NCPN,Identification & Enumeration of Aquatic Macroinvertebrate Samples to Support Long-Term Monitoring of t Aquatic Macroinvertebrate Communities,Research,Natural,"$5,000.00",$0.00,"$5,000.00",Mark,Vinson,Dustin,Perkins,,,Yes,No,,"same report for 27, 28 and 24",,,,5/1/08,9/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2118080012,RMB-010,Bird Conservancy of the Rockies (formerly RMBO),NCPN,Monitoring Landbirds in NCPN Units,Research,Natural,"$15,000.00",$0.00,"$15,000.00",Tammy,VerCauteren,,,,,No,No,,Report rolled into final report for RMBCP-011,,,,10/1/08,10/31/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121060019,NAU-273,Northern Arizona University,SCPN,Developing Monitoring Protocol Support Long-Term Monitoring of Ground Dwelling Arthropods,Research,Natural,"$67,000.00","$120,738.00","$187,738.00",Neil,Cobb,Lisa,Thomas,,,No,No,,,,,,9/1/06,6/1/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121070103,UNM-013,University of New Mexico,BAND,Vegetation Mapping Accuracy Assessment,Research,Natural,"$10,000.00",$0.00,"$10,000.00",Esteban,Muldavin,Lisa,Thomas,,,Yes,No,,"Admin closed 10/5/10
Two reports were submitted one for each of the two parks, BAND and SAPU under UNM-002 and UNM-013.",,,,8/31/08,6/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121070112,USUCP-032,Utah State University,SCPN,Identification & Enumeration of Aquatic Macroinvertebrate Samples to Support Long-Term Monitoring of Aquatic Macroinvertebrate Communities,Research,Natural,"$8,460.00",$0.00,"$8,460.00",Mark,Vinson,Lisa,Thomas,,,No,No,,,,,,9/30/08,6/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121070113,NAU-289,Northern Arizona University,SCPN,Administrative & Technical Support Agreement,Research,Natural,"$281,000.00","$459,701.00","$740,701.00",Ron,Hiebert,Lisa,Thomas,,,No,No,,,,,,9/30/08,6/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121080110,NAU-284,Northern Arizona University,WACA,Inventory of Exotic Plant Species,Research,Natural,"$23,752.00",$0.00,"$23,752.00",Ron,Hiebert,Lisa,Thomas,,,Yes,No,,,,,,8/15/08,6/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121080111,OSU-007,Oregon State University,SCPN| NCPN,Using Trajectory-Based Analytical Methods to Improve Landsat-Based Monitoring in NPS units of SCPN and NCPN,Research,Natural,"$23,651.00",$0.00,"$23,651.00",Robert,Kennedy,,,,,No,No,,Jodi/Lisa rec'd products. Data rec'd 1-7-11 Report received 2/2011,,,,9/1/08,8/31/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2121080114,NAU-291,Northern Arizona University,TONT,Technical Support for Learning Center for the American Southwest Website,Educational,Interdisciplinary,"$20,000.00","$81,014.00","$101,014.00",Christian,Downum,Duane,Hubbard,,,No,No,,Submitted with final report for NAU-300.,,,,9/30/08,7/31/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2122080010,UNM-009,University of New Mexico,PECO,Assessment Listed & Potential Indicator Species at CaNoncito & Pigeon's Ranch Subunits,Technical Assistance,Natural,"$47,900.00",$0.00,"$47,900.00",Kristine,Johnson,Robert,Bennetts,,,Yes,No,,"2122-0301-NII: $10000                  2122-8061-NNS $37,900",,,,4/1/08,7/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2124080050,UNM-014,University of New Mexico,FODA,Development of Vegetation Classification & Map for Fort Davis NHS Phase II,Research,Natural,"$31,206.00",$0.00,"$31,206.00",Esteban,Muldavin,Hildy,Reiser,,,Yes,No,,2121-0501-NII $29700               2124-0301-NII $1506,,,,8/18/08,6/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2146082001,UNM-015,University of New Mexico,PECO| FOUN,Natural Resource Condition Assessment,Research,Natural,"$94,340.00",$0.00,"$94,340.00",Kristine,Johnson,Jeff,Albright,,,Yes,No,,,,,,9/1/08,8/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2303080020,ASU-037,Arizona State University,MULTI,Modeling of NPS Visitation Trends,Research,Social,"$23,823.00",$0.00,"$23,823.00",John,Dennis,Tim,Tyrell,,,Yes,No,,,,,,11/15/07,7/1/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,2340070031,NAU-269,Northern Arizona University,GRCA,"2008 Field Crew Support, Data Management & Review Meetings Grand Canyon Vegetation Mapping",Technical Assistance,Natural,"$487,351.01","$39,638.00","$526,989.01",Tina,Ayers,Michael,Kearsley,,,No,No,,,,,,8/15/07,6/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,4506080213,ASU-043,Arizona State University,ROVA,Complete Oral History Support Park Administrative History,Technical Assistance,Cultural,"$2,820.00",$0.00,"$2,820.00",Jannelle,Warren-Findley,Paul,Weinbaum,,,No,No,,,,,,6/1/08,1/15/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,6067080018,RMB-008,Bird Conservancy of the Rockies (formerly RMBO),NGPN,Evaluating Monitoring Options for Land Birds,Technical Assistance,Natural,"$45,000.00",$0.00,"$45,000.00",David,Hanni,Marcia,Wilson,,,No,No,,,,,,5/19/08,11/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,6067080023,RMB-009,Bird Conservancy of the Rockies (formerly RMBO),NGPN,Data Analysis & Data Mining Land Bird Monitoring Efforts,Technical Assistance,Natural,"$15,000.00",$0.00,"$15,000.00",David,Hanni,Marcia,Wilson,,,No,No,,,,,,7/19/08,11/30/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7127080008,UNM-008,University of New Mexico,BAND,Bandelier National Monument Ecological Restoration Cultural Resources Treatment Plan,Technical Assistance,Interdisciplinary,"$4,578.00",$0.00,"$4,578.00",Richard,Chapman,John,Mack,,,Yes,No,,,,,,10/29/07,6/30/08,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7180080051,UAZCP-137,University of Arizona,GUMO,Provide Library Assistance to Guadalupe Mountains National Park,Technical Assistance,Interdisciplinary,"$4,279.00",$0.00,"$4,279.00",Richard,Lange,,,,,No,No,,,,,,9/1/08,1/31/09,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7230080005,UNM-021,University of New Mexico,FOUN,Archeological Resources Inventory & Evaluation,Research,Cultural,"$23,090.00",$0.00,"$23,090.00",Richard,Chapman,Marie,Sauter,,,No,No,,"7230-0830-CCA $70000 , 7230-SZM $3090; 12-10-10 - closed both technically and administratively - reports will be submitted under UNM-45
Admin closed 10/5/10",,,,8/11/08,12/31/12,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7380070009,ASU-044,Arizona State University,AZRU| CHCU,Cultural Lifeways Study Phase IV,Research,Cultural,"$7,000.00",$0.00,"$7,000.00",Nancy,Dallett,Christine,Landrum,,,No,No,,Dave Ruppert is the subject matter specialist for the KO.  1217-8081-UEE $1500; 2151-NAGP-UGZ $2000; 9922-0801-UGZ $3500,,,,9/5/08,6/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7390070016,NAU-268,Northern Arizona University,CACH,Developing an All Taxa Biodiversity Inventory Meeting,Technical Assistance,Natural,"$1,268.00",$0.00,"$1,268.00",Neil,Cobb,Elaine,Leslie,,,No,No,,closed administratively and technically 12-23-10,,,,3/1/08,2/28/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7390082001,CSUCP-125,Colorado State University,CACH,Restoration of Native Plant Communities Following Saltcedar & Russian Olive Removal - Year I,Research,Natural,"$49,448.00",$0.00,"$49,448.00",Mark,Paschke,Mick,Castillo,,,Yes,No,,Students supported FY is wrong,,,,9/1/08,6/1/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7400080024,NAU-278,Northern Arizona University,CHCU,Visitation Projection and Transportation Needs Assessment Assistance for CHCU by NAU,Technical Assistance,Social,"$7,361.00","$121,937.00","$129,298.00",Jonathan,Upchurch,Barbara,West,,,No,No,,,,,,8/15/08,9/30/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7400080030,UNM-018,University of New Mexico,CHCU,Inventorying & Re-Housing Aztec Ruins Museum Collections,Technical Assistance,Cultural,"$20,923.00",$0.00,"$20,923.00",David,Phillips,Wendy,Bustard,,,Yes,No,,,,,,9/15/08,6/30/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7400080031,UNM-019,University of New Mexico,CHCU,Cataloging Bis sa'ani Archaeological Museum Collection,Technical Assistance,Cultural,"$27,510.00",$0.00,"$27,510.00",David,Phillips,Wendy,Bustard,,,Yes,No,,,,,,9/29/08,12/31/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,741006009,CDA-007,Archaeology Southwest,ELMO,Laser Imaging of Inscriptions,Technical Assistance,Cultural,"$23,000.00",$0.00,"$23,000.00",William,Doelle,Steve,Baumann,,,No,No,,"Partner: Center for Desert Arch      7410-0630-CCS $22000 7410-CZA $1000.
Single reports submitted for CDA-03, 04 and 07.",,,,9/1/08,12/31/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7420080006,DC-001,Diné College,HUTR,"Historic Resource Study, Phase I",Research,Cultural,"$20,110.00",$0.00,"$20,110.00",Bradley,Shreve,,,,,No,No,,,,,,9/1/08,2/1/10,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7430080013,NAU-296,Northern Arizona University,NAVA,Inscription House Midden Recovery & Research Project,Research,Interdisciplinary,"$43,000.00","$81,025.00","$124,025.00",Francis,Smiley,Lloyd,Masayumptewa,,,Yes,No,,,,,,9/15/08,7/1/11,,,,,,,,
Colorado Plateau (COPL),National Park Service,2008,7470080017,MNA-026,Museum of Northern Arizona,SUCR,"Prepare EA for Construction to Repair Shoulders, FR 545, NPS Rt. 010, Bonito Park",Technical Assistance,Cultural,"$10,527.00",$0.00,"$10,527.00",Chris,Donnermeyer,Chris,Donnermeyer,,,No,No,,,,,,2/18/08,11/20/08,,,,,,,,
